scope,bin_left_minutes,bin_right_minutes,bin_centre_minutes,events,at_risk,hazard
Claude_Code,12.564942410444138,15.183413150781087,13.812266715986357,34,530,0.06415094339622641
Claude_Code,15.183413150781087,18.34756001075561,16.690673561964235,31,496,0.0625
Claude_Code,18.34756001075561,22.171099146502566,20.16892590335113,29,465,0.06236559139784946
Claude_Code,22.171099146502566,26.791444588593166,24.372028521477827,22,436,0.05045871559633028
Claude_Code,26.791444588593166,32.37464675976095,29.451036564769886,26,414,0.06280193236714976
Claude_Code,32.37464675976095,39.121360154858955,35.58848431410006,30,388,0.07731958762886598
Claude_Code,39.121360154858955,47.274054655275776,43.00494527550907,30,358,0.08379888268156424
Claude_Code,47.274054655275776,57.12572964497068,51.96695936322282,21,328,0.06402439024390244
Claude_Code,57.12572964497068,69.0304441044194,62.79661206770094,18,307,0.05863192182410423
Claude_Code,69.0304441044194,83.41604112312459,75.88310987408069,25,289,0.08650519031141868
Claude_Code,83.41604112312459,100.79952413647204,91.69676793954815,9,264,0.03409090909090909
Claude_Code,100.79952413647204,121.80563749293685,110.80591273225293,13,255,0.050980392156862744
Claude_Code,121.80563749293685,147.18931911795025,133.8973070950766,12,242,0.049586776859504134
Claude_Code,147.18931911795025,177.86283219988167,161.80083178986078,12,230,0.05217391304347826
Claude_Code,177.86283219988167,214.92855098278102,195.5193105511936,14,218,0.06422018348623854
Claude_Code,214.92855098278102,259.71857895327406,236.26455053125127,12,204,0.058823529411764705
Claude_Code,259.71857895327406,313.84262325814603,285.50089339190066,20,192,0.10416666666666667
Claude_Code,313.84262325814603,379.2458459095266,344.99784222513694,7,172,0.040697674418604654
Claude_Code,379.2458459095266,458.2787708899861,416.8936556587914,12,165,0.07272727272727272
Claude_Code,458.2787708899861,553.781759546389,503.7721946537075,8,153,0.05228758169934641
Claude_Code,553.781759546389,669.1870902305337,608.7557837865634,19,145,0.1310344827586207
Claude_Code,669.1870902305337,808.642310822981,735.6174243565234,9,126,0.07142857142857142
Claude_Code,808.642310822981,977.1592973018371,888.9163921383821,24,117,0.20512820512820512
Claude_Code,977.1592973018371,1180.79437536684,1074.1620930248018,13,93,0.13978494623655913
Claude_Code,1180.79437536684,1426.8659785030811,1298.0120653594638,22,80,0.275
Claude_Code,1426.8659785030811,1724.217664889404,1568.5112449596008,3,58,0.05172413793103448
Claude_Code,1724.217664889404,2083.53594570637,1895.3810917646545,7,55,0.12727272727272726
Claude_Code,2083.53594570637,2517.734347263511,2290.368969022915,7,48,0.14583333333333334
Claude_Code,2517.734347263511,3042.4175097403263,2767.670331341711,8,41,0.1951219512195122
Claude_Code,3042.4175097403263,3676.442001768404,3344.4388946017493,8,33,0.24242424242424243
Claude_Code,3676.442001768404,4442.594005949061,4041.40312271316,3,25,0.12
Claude_Code,4442.594005949061,5368.408230621077,4883.611187107836,3,22,0.13636363636363635
Claude_Code,5368.408230621077,6487.1574787179925,5901.3311720394695,15,19,0.7894736842105263
Claude_Code,6487.1574787179925,7839.048437793288,7131.138878136038,2,4,0.5
Claude_Code,7839.048437793288,9472.66666666667,8617.232318736102,2,2,1.0
Copilot,0.016666666666666666,0.02015313917577022,0.01832718344234879,5,596,0.008389261744966443
Copilot,0.02015313917577022,0.02436894111827787,0.022161016716811612,0,591,0.0
Copilot,0.02436894111827787,0.029466639715368205,0.026796843250228488,0,591,0.0
Copilot,0.029466639715368205,0.035630717473565617,0.03240243068958921,4,591,0.00676818950930626
Copilot,0.035630717473565617,0.04308424849063896,0.03918064171923236,0,587,0.0
Copilot,0.04308424849063896,0.05209697136691889,0.04737677553382075,0,587,0.0
Copilot,0.05209697136691889,0.06299505087561798,0.057287445061938926,0,587,0.0
Copilot,0.06299505087561798,0.07617288166086328,0.06927131120145273,8,587,0.013628620102214651
Copilot,0.07617288166086328,0.09210736113185115,0.08376206253185804,4,579,0.0069084628670120895
Copilot,0.09210736113185115,0.11137514808018753,0.1012841102312462,2,575,0.0034782608695652175
Copilot,0.11137514808018753,0.13467353159892217,0.12247156618706145,5,573,0.008726003490401396
Copilot,0.13467353159892217,0.16284566553633406,0.1480911911065442,0,568,0.0
Copilot,0.16284566553633406,0.19691108170348012,0.17907014310454628,4,568,0.007042253521126761
Copilot,0.19691108170348012,0.23810258608930174,0.21652953097266064,7,564,0.012411347517730497
Copilot,0.23810258608930174,0.2879108733341106,0.26182498640137675,5,557,0.008976660682226212
Copilot,0.2879108733341106,0.3481384740311929,0.3165957234384655,6,552,0.010869565217391304
Copilot,0.3481384740311929,0.4209649871754538,0.38282386061454315,5,546,0.009157509157509158
Copilot,0.4209649871754538,0.5090259584803949,0.4629061525662329,8,541,0.014787430683918669
Copilot,0.5090259584803949,0.6155082591201139,0.5597407270792569,9,533,0.016885553470919325
