bin_index,bin_left_log10_minutes,bin_right_log10_minutes,bin_left_minutes,bin_right_minutes,bin_centre_minutes,count,share,cumulative_share,density_per_minute,kde_density_per_log10_minute
80,0.2217021916781452,0.24670035970391768,1.6661043246835883,1.7648197679415438,1.714751832672732,39,0.007023230686115613,0.2341076895371871,0.07114622043243071,0.3350451715098674
81,0.24670035970391768,0.27169852772969016,1.7648197679415438,1.8693840278631648,1.816349604632076,53,0.009544390419593013,0.24365207995678012,0.09127775041632076,0.34106059912593073
82,0.27169852772969016,0.2966966957554622,1.8693840278631648,1.980143642489876,1.923966969088961,61,0.010985053124437242,0.2546371330812174,0.09917922847113311,0.3467627339717201
83,0.2966966957554622,0.3216948637812347,1.980143642489876,2.097465681984571,2.0379605824260785,48,0.00864397622906537,0.26328110931028276,0.07367734371389115,0.352164364028616
84,0.3216948637812347,0.34669303180700717,2.097465681984571,2.221738965144543,2.1587082326517852,47,0.008463893390959841,0.2717450027012426,0.06810710376151093,0.35726241018720556
85,0.34669303180700717,0.3716911998327792,2.221738965144543,2.353375347991915,2.2866100914332192,58,0.010444804610120656,0.2821898073113632,0.07934587979548988,0.362056276211606
86,0.3716911998327792,0.3966893678585517,2.353375347991915,2.4928110887121044,2.4220900403114562,47,0.008463893390959841,0.29065370070232305,0.06070103222634027,0.36652918009511676
87,0.3966893678585517,0.42168753588432417,2.4928110887121044,2.6405082934638506,2.5655970754939212,40,0.007203313524221142,0.2978570142265442,0.04877081821777658,0.3706648158985565
88,0.42168753588432417,0.44668570391009665,2.6405082934638506,2.7969564478524385,2.7176067958797048,51,0.009184224743381956,0.3070412389699262,0.058704589896088295,0.3744392270839722
89,0.44668570391009665,0.4716838719358687,2.7969564478524385,2.962674039141555,2.87862297924928,61,0.010985053124437242,0.3180262920943634,0.06628779141058318,0.3778222194407068
90,0.4716838719358687,0.4966820399616412,2.962674039141555,3.138210274580016,3.0491792518422893,50,0.009004141905276427,0.3270304339996398,0.051295061004273855,0.380789077254315
91,0.4966820399616412,0.5216802079874137,3.138210274580016,3.324146901538036,3.229840856856571,57,0.010264721772015126,0.337295155771655,0.055205485546065386,0.3833097885094651
92,0.5216802079874137,0.5466783760131861,3.324146901538036,3.5211001354852587,3.421206527729433,75,0.01350621285791464,0.3508013686295696,0.06857573540292253,0.38536080629063424
93,0.5466783760131861,0.5716765440389582,3.5211001354852587,3.7297227022000286,3.6239104724094613,52,0.009364307581487484,0.3601656762110571,0.04488635974980802,0.3869315385106927
94,0.5716765440389582,0.5966747120647307,3.7297227022000286,3.950706000978067,3.83862447519496,57,0.010264721772015126,0.3704303979830722,0.046450215146463615,0.3880107034172704
95,0.5966747120647307,0.6216728800905031,3.950706000978067,4.18478239600962,4.066060123104745,55,0.00990455609580407,0.3803349540788763,0.04231334857352425,0.38860069230080824
96,0.6216728800905031,0.6466710481162752,4.18478239600962,4.43272764351903,4.306971164159756,51,0.009184224743381956,0.3895191788222582,0.037041342133542605,0.38870750339282933
97,0.6466710481162752,0.6716692161420477,4.43272764351903,4.695363462710529,4.562156005391113,50,0.009004141905276427,0.39852332072753466,0.034283754337069774,0.38834435840130505
98,0.6716692161420477,0.6966673841678201,4.695363462710529,4.973560259040617,4.832460358853286,47,0.008463893390959841,0.40698721411849453,0.03042412242920724,0.3875337191582225
99,0.6966673841678201,0.7216655521935926,4.973560259040617,5.26824000884235,5.118780044411569,60,0.010804970286331712,0.41779218440482624,0.03666682319908827,0.3863038237762765
100,0.7216655521935926,0.7466637202193647,5.26824000884235,5.580379314861452,5.422063958592647,56,0.010084638933909599,0.42787682333873583,0.032308135308317935,0.3846822950188631
101,0.7466637202193647,0.7716618882451372,5.580379314861452,5.9110126428306895,5.743317219337349,47,0.008463893390959841,0.43634071672969565,0.025599032750102366,0.38270570325303505
102,0.7716618882451372,0.7966600562709096,5.9110126428306895,6.261235749808835,6.083604497077658,67,0.012065550153070412,0.4484062668827661,0.03445103967347116,0.3804137999521544
103,0.7966600562709096,0.8216582242966821,6.261235749808835,6.632209315646206,6.444053543177556,50,0.009004141905276427,0.4574104087880425,0.024271653655300342,0.37784250214319254
104,0.8216582242966821,0.8466563923224542,6.632209315646206,7.025162789611818,6.825858927431374,64,0.011525301638753828,0.4689357104267963,0.029329939553511684,0.3750328078621635
105,0.8466563923224542,0.8716545603482266,7.025162789611818,7.441398464930365,7.230285997006155,46,0.008283810552854314,0.47721952097965065,0.019901731264420502,0.37202896455092177
106,0.8716545603482266,0.8966527283739991,7.441398464930365,7.882295794732432,7.658675069948391,46,0.008283810552854314,0.48550333153250497,0.018788525112123453,0.36887148307246975
107,0.8966527283739991,0.9216508963997712,7.882295794732432,8.349315963721601,8.112445877152904,48,0.00864397622906537,0.49414730776157034,0.018508785707852027,0.3655971342817354
