relative_path,is_parquet,remote_bytes,local_bytes,bytes_match,hub_blob_oid,hub_lfs_sha256,local_sha256,sha256_match
train-00160.parquet,True,5850487,5850487,True,ab6dee4d680dd63162dd04cc81b1988b9bdca6d0,3d592d8bd289d9267b1020c552af60c620a7cd6e161fd671d1e17744f0e869ba,3d592d8bd289d9267b1020c552af60c620a7cd6e161fd671d1e17744f0e869ba,True
train-00161.parquet,True,7009906,7009906,True,40f825607a6e75cffa59c7abf7c00587b4b1595e,61e1ec0c496761058e8b989ae644723888524f511d1b4e95a491a955b9b2813a,61e1ec0c496761058e8b989ae644723888524f511d1b4e95a491a955b9b2813a,True
train-00162.parquet,True,7166332,7166332,True,377a5d3997f6d6ff9a4221b9194965f70b31694b,fa9e228649641dcfd54d1d4e31c8cc90ae1e8d6e9eea4b5c1c3b30d3e7750af5,fa9e228649641dcfd54d1d4e31c8cc90ae1e8d6e9eea4b5c1c3b30d3e7750af5,True
train-00163.parquet,True,7962215,7962215,True,8aca0725828adb45907c04fa1e982ede1172525a,49f73ea498f51e1f0c867f2bd41e146cf6722588e58e9caa50d03c16d8cd92e8,49f73ea498f51e1f0c867f2bd41e146cf6722588e58e9caa50d03c16d8cd92e8,True
train-00164.parquet,True,7428306,7428306,True,7ae252fa42fb58be9994c1d19185428793fbfe8e,7e5d5b1b2a4e74175c5169a5105216ebccdb5d77e42902d0c56ee76d766c817b,7e5d5b1b2a4e74175c5169a5105216ebccdb5d77e42902d0c56ee76d766c817b,True
train-00165.parquet,True,5398661,5398661,True,27334b76c82ec111a60ed999711c8a96d31cbefa,cfa88fce72878fd1fcd88fb2549212d55554803e416687b1303d0eb759caa0df,cfa88fce72878fd1fcd88fb2549212d55554803e416687b1303d0eb759caa0df,True
train-00166.parquet,True,6065934,6065934,True,7d2647f441549ffe82eacba1e6efe443c3201733,1a15b2733be937915e4bbd4942ac7ef8b9e9bebcad5c234247c4d5dec307b3b5,1a15b2733be937915e4bbd4942ac7ef8b9e9bebcad5c234247c4d5dec307b3b5,True
train-00167.parquet,True,5565932,5565932,True,80500b6835a444f340f1ce478ed3bda48013b3eb,ab91e5b268e0826853c063e8536afd6e6e4810b35ae50e768402d2150ca7595d,ab91e5b268e0826853c063e8536afd6e6e4810b35ae50e768402d2150ca7595d,True
train-00168.parquet,True,5910432,5910432,True,7fb5333640b45df89c21279386d76f2bdbba6465,49aafe1746e039b713676a1db3910ec10cb1a528b21961576af96050bb103a72,49aafe1746e039b713676a1db3910ec10cb1a528b21961576af96050bb103a72,True
train-00169.parquet,True,6036341,6036341,True,322ccad5a0313c42d0cc8986ff229ccea1456809,c99c7480ebe8600e4bb4ae0ecf22b0ef1177b662f2bf2e4221a825efe4036fa4,c99c7480ebe8600e4bb4ae0ecf22b0ef1177b662f2bf2e4221a825efe4036fa4,True
