omitted_product_pair,first_owner_state,metric,prs,repositories,estimate,full_estimate,change_from_full
Google_Jules -> OpenAI_Codex,mapped_product,exact_owner_persistence,643,244,0.4447900466562986,0.4447900466562986,0.0
Google_Jules -> OpenAI_Codex,mapped_product,layer_persistence,643,244,0.5334370139968896,0.5334370139968896,0.0
Google_Jules -> OpenAI_Codex,mapped_product,cross_layer_handoff,643,244,0.3297045101088647,0.3297045101088647,0.0
Google_Jules -> OpenAI_Codex,user_minus_mapped,exact_owner_persistence,2117,606,-0.13474934109320502,-0.13516945045033657,0.0004201093571315484
Google_Jules -> OpenAI_Codex,user_minus_mapped,layer_persistence,2117,606,0.007946975148293567,0.0072133925071754534,0.0007335826411181134
Google_Jules -> OpenAI_Codex,user_minus_mapped,cross_layer_handoff,2117,606,-0.011522691927046524,-0.010598819051954145,-0.0009238728750923797
OpenAI_Codex -> Claude_Code,user_account,exact_owner_persistence,1349,467,0.312824314306894,0.30962059620596205,0.0032037181009319515
OpenAI_Codex -> Claude_Code,user_account,layer_persistence,1349,467,0.5470719051148999,0.540650406504065,0.006421498610834853
OpenAI_Codex -> Claude_Code,user_account,cross_layer_handoff,1349,467,0.3083765752409192,0.31910569105691056,-0.010729115815991341
OpenAI_Codex -> Claude_Code,mapped_product,exact_owner_persistence,541,219,0.4399260628465804,0.4447900466562986,-0.0048639838097181975
OpenAI_Codex -> Claude_Code,mapped_product,layer_persistence,541,219,0.5378927911275416,0.5334370139968896,0.004455777130652039
OpenAI_Codex -> Claude_Code,mapped_product,cross_layer_handoff,541,219,0.33086876155268025,0.3297045101088647,0.001164251443815545
OpenAI_Codex -> Claude_Code,user_minus_mapped,exact_owner_persistence,1890,573,-0.12710174853968642,-0.13516945045033657,0.008067701910650149
OpenAI_Codex -> Claude_Code,user_minus_mapped,layer_persistence,1890,573,0.009179113987358267,0.0072133925071754534,0.001965721480182814
OpenAI_Codex -> Claude_Code,user_minus_mapped,cross_layer_handoff,1890,573,-0.02249218631176103,-0.010598819051954145,-0.011893367259806886
OpenAI_Codex -> Copilot,user_account,exact_owner_persistence,1030,343,0.2922330097087379,0.30962059620596205,-0.01738758649722416
OpenAI_Codex -> Copilot,user_account,layer_persistence,1030,343,0.4893203883495146,0.540650406504065,-0.05133001815455046
OpenAI_Codex -> Copilot,user_account,cross_layer_handoff,1030,343,0.39029126213592236,0.31910569105691056,0.0711855710790118
OpenAI_Codex -> Copilot,mapped_product,exact_owner_persistence,548,202,0.4416058394160584,0.4447900466562986,-0.003184207240240211
OpenAI_Codex -> Copilot,mapped_product,layer_persistence,548,202,0.5383211678832117,0.5334370139968896,0.004884153886322129
OpenAI_Codex -> Copilot,mapped_product,cross_layer_handoff,548,202,0.32116788321167883,0.3297045101088647,-0.008536626897185873
