exclusion_unit,excluded_group,n_prs,automation_then_user_vs_automation_only,user_first_vs_automation_only
repository,175220144,1731,0.13283724839408168,0.07101390180512489
repository,180190854,1732,0.1348486814065822,0.07281348382623601
repository,18280236,1732,0.1326822085184361,0.07081765979318332
repository,183895098,1729,0.1313444814039471,0.0693612736161133
repository,184555939,1732,0.1326513984054988,0.0704318856521203
repository,184562999,1730,0.1327050846403349,0.0707217196518557
repository,184860689,1732,0.1325508798281042,0.0715463538204395
repository,187669666,1732,0.1326945422408221,0.07078495482036622
repository,189166871,1732,0.1350162737340409,0.07324812728076671
repository,189285554,1732,0.13276786075493652,0.07211376027775769
repository,19062086,1732,0.13258537564036071,0.07056113662131229
repository,190815700,1732,0.13255546838345678,0.07068314172733119
repository,191049280,1731,0.1317352910437326,0.06952477395671408
repository,1931356,1731,0.1325926696668317,0.0697821973908794
repository,193215554,1731,0.1313753123002788,0.06834556149560239
repository,195893425,1732,0.13276466837579332,0.07211178914878949
repository,197033610,1731,0.1367975459358594,0.0750296356078462
repository,197153676,1731,0.1370067411688738,0.0718084996156286
repository,197275551,1732,0.1326673036156791,0.0696908985296833
repository,19961085,1721,0.1336288958208631,0.07026385449392619
repository,200483841,1730,0.1323772421971127,0.0702942774106704
repository,2006005,1730,0.12499130013364369,0.07017836097338849
repository,201808511,1732,0.13291176965737778,0.0717051372252318
repository,202291859,1732,0.1325396599082814,0.06862966091885311
repository,202570697,1731,0.13295261389063978,0.07071103515371019
repository,203843667,1732,0.1325006062731316,0.0705385723849376
repository,204086862,1732,0.13423730612857498,0.07216916001153849
repository,206424,1732,0.13258929517691337,0.07045454175452891
repository,208362715,1732,0.1327623406512642,0.06977989679768878
repository,210472898,1730,0.13274636571408682,0.07044210886509379
repository,213109008,1732,0.13262694303518058,0.07061635767448131
repository,213946861,1732,0.13296848408528159,0.0709125304816576
repository,214868921,1732,0.1328135791376396,0.0707525818458978
repository,216391224,1730,0.13113227392767068,0.0693815696127033
repository,21764480,1731,0.1315415217316225,0.0691304785381878
repository,2179920,1731,0.13299313180545191,0.0691856778868728
repository,218624360,1732,0.1331036649735298,0.07105264882828821
repository,219012610,1729,0.13254694669598127,0.07196621293861609
repository,220080707,1732,0.13274395170010028,0.0718078227916253
repository,220517730,1732,0.132585485985441,0.0697549453900275
repository,2218679,1732,0.1326673036156779,0.0696908985296819
repository,22257580,1732,0.1328345660573837,0.071026496267051
repository,22332649,1730,0.13305758608772977,0.07187286247987458
repository,225260962,1732,0.13279276892510872,0.07145473350754018
repository,225880766,1717,0.1266234655291096,0.0689002049325537
repository,226297545,1732,0.1326824621190391,0.0707172178404846
repository,227265548,1732,0.1347700745975737,0.0727755727894211
repository,230706417,1730,0.132304698392523,0.07044074821921238
repository,232335424,1731,0.1327667526253064,0.07036770894775249
repository,23267883,1722,0.1344613491547333,0.0683703380184902
repository,23315232,1732,0.1313875892285686,0.0693702388170678
repository,23332350,1732,0.1328813836654622,0.069946522413661
repository,233531789,1732,0.13281875749861932,0.0708756432747736
repository,234231371,1718,0.11931443756638418,0.0644477497763773
repository,235901813,1724,0.1275131946123504,0.06640606112837391
repository,236706881,1732,0.1328718163572088,0.07094278467551221
repository,237392204,1732,0.13705349626687358,0.07111398284823299
repository,237647258,1732,0.13266247969091338,0.0705361073809904
repository,238797860,1732,0.13259749558791362,0.0705830832876543
repository,241095326,1732,0.1326944232350298,0.0708408140409662
repository,2418592,1732,0.1309392683579952,0.06876194806284289
repository,247589209,1732,0.1326623975757144,0.07069983143574389
repository,247714750,1732,0.1345480676680766,0.0726968719468977
repository,249027166,1731,0.1361797478574903,0.0717822624610241
repository,255978101,1732,0.1312479564632411,0.06916429402973001
repository,25868356,1726,0.1276980753544079,0.07206154632716999
repository,260550412,1732,0.1329131982791814,0.06987620811023369
repository,26066727,1732,0.1326002860629306,0.07054005651798309
repository,262013713,1732,0.1329117696573779,0.07170513722523078
repository,264043501,1732,0.1326829622248883,0.07069540043612269
repository,264852729,1732,0.13135516857391671,0.0691558949663149
repository,265001214,1731,0.1325918537193821,0.06982851249090549
repository,267374872,1732,0.1326377649273942,0.0707092325136452
repository,268757125,1732,0.1360280325654761,0.0706923805217039
repository,272508670,1732,0.13410166470233292,0.07222451470825571
repository,273598269,1732,0.1326377649273942,0.0707092325136454
repository,275118967,1728,0.13252851060139242,0.07168024825881221
repository,275993885,1732,0.1326818760104993,0.07181381268491209
repository,278335273,1732,0.132710222583997,0.07066063097277352
repository,283046497,1729,0.1341362119179072,0.07091740945133622
repository,28312955,1732,0.1363431561427726,0.07063398210441629
repository,283728680,1728,0.1329969394945994,0.0716990166510234
repository,284712323,1732,0.1347352354541182,0.07279169646929072
repository,288774122,1732,0.1325471065769498,0.07181027179924639
repository,2899580,1732,0.132694423235029,0.0708408140409648
repository,291390714,1732,0.1299959047644968,0.0708266052722983
repository,292427680,1732,0.1325896213080289,0.07028237058803699
repository,297803332,1732,0.1327401465727574,0.07090291095548738
repository,304830226,1731,0.1310513736954754,0.06780421203185621
repository,306976345,1726,0.13671711366015288,0.07034079301307149
repository,307176956,1726,0.1324233291084517,0.06857424824420619
repository,308829430,1732,0.1326296331756153,0.0717650651007922
repository,314197645,1730,0.1321314000408738,0.07220214835480371
repository,32189655,1732,0.13258660975273678,0.07180111327363979
repository,3219804,1732,0.13282002676318078,0.0707232129139712
repository,32500369,1731,0.1317078616375619,0.07022981032869871
repository,326404870,1731,0.1327391282711031,0.07289205375369989
repository,330802289,1731,0.1326836003590559,0.0709547139856734
repository,332191184,1732,0.1326623975757149,0.07069983143574479
repository,3328572,1731,0.1325581593719977,0.06803578169166671
repository,333158293,1732,0.13431866366880918,0.0723142922630242
repository,335571729,1732,0.132650654125089,0.07193434200213361
repository,336521419,1732,0.132741833297013,0.07150734112157449
repository,33837371,1728,0.133077791880557,0.0684722691375238
repository,339972716,1732,0.13278185898419298,0.07150349392916978
repository,346526277,1732,0.13270994948580128,0.0707121343712815
